case_id,amp,pw,Ea_mean,Ea_sigma,tfe,epife_read,Iref,VFB_read,VG_name,P0,Vth0,idmin0,idmax0,valid0,dV1,dV10,dV100,dP1,dP10,dP100,gradual,ratio1,ratio10,valid_ratio,progress_score,is_invalid,is_weak_all,is_early_saturate,is_progressive
A1p40_PW5p00em02us_Em1p00_Es0p25_tfe1p00em06_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1,0.25,1e-06,24,1e-07,-0.5,VGm0p8_to_2p2,0.22000000000001,0.64503191268377,1.67314156581036e-23,4.57515818152832e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p00_Es0p25_tfe1p00em06_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1,0.25,1e-06,28,1e-07,-0.5,VGm0p8_to_2p2,0.22000000000001,0.635792218392423,1.17124060941129e-23,5.03967701684981e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p05_Es0p15_tfe8p00em07_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1.05,0.15,8e-07,24,1e-07,-0.5,VGm0p8_to_2p2,0.46500000000002,0.539588926961807,6.19707447182203e-23,5.58371253312342e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p05_Es0p15_tfe8p00em07_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1.05,0.15,8e-07,28,1e-07,-0.5,VGm0p8_to_2p2,0.46500000000002,0.545670324381111,1.11212104379623e-23,6.04039923380378e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p05_Es0p15_tfe1p00em06_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1.05,0.15,1e-06,24,1e-07,-0.5,VGm0p8_to_2p2,0.46500000000002,0.529785580982952,3.2192061484033e-23,4.93850007588428e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p05_Es0p15_tfe1p00em06_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1.05,0.15,1e-06,28,1e-07,-0.5,VGm0p8_to_2p2,0.46500000000002,0.536868705880911,1.21510055469393e-23,5.38167331133224e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p05_Es0p20_tfe8p00em07_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1.05,0.2,8e-07,24,1e-07,-0.5,VGm0p8_to_2p2,0.360000000000016,0.579169262326138,1.01025673984596e-23,5.4412341029115e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p05_Es0p20_tfe8p00em07_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1.05,0.2,8e-07,28,1e-07,-0.5,VGm0p8_to_2p2,0.360000000000016,0.579310346065277,3.20300100162369e-23,5.90745984525875e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p05_Es0p20_tfe1p00em06_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1.05,0.2,1e-06,24,1e-07,-0.5,VGm0p8_to_2p2,0.360000000000016,0.57892116954802,1.74216271571535e-23,4.78264044296116e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p05_Es0p20_tfe1p00em06_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1.05,0.2,1e-06,28,1e-07,-0.5,VGm0p8_to_2p2,0.360000000000016,0.579098537674828,1.65382176151166e-23,5.2349915468965e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p05_Es0p25_tfe8p00em07_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1.05,0.25,8e-07,24,1e-07,-0.5,VGm0p8_to_2p2,0.245000000000011,0.622587195852233,1.6204031571955e-23,5.28535878628128e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p05_Es0p25_tfe8p00em07_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1.05,0.25,8e-07,28,1e-07,-0.5,VGm0p8_to_2p2,0.245000000000011,0.616611996261472,9.56862111501887e-24,5.76199522896722e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p05_Es0p25_tfe1p00em06_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1.05,0.25,1e-06,24,1e-07,-0.5,VGm0p8_to_2p2,0.245000000000011,0.633328837232243,5.14740718036387e-24,4.61217971358865e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p05_Es0p25_tfe1p00em06_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1.05,0.25,1e-06,28,1e-07,-0.5,VGm0p8_to_2p2,0.245000000000011,0.625747194940031,3.20527629749103e-23,5.07453192876744e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p10_Es0p15_tfe8p00em07_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1.1,0.15,8e-07,24,1e-07,-0.5,VGm0p8_to_2p2,0.490000000000022,0.530530542611263,1.65342850690696e-23,5.61765732329425e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p10_Es0p15_tfe8p00em07_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1.1,0.15,8e-07,28,1e-07,-0.5,VGm0p8_to_2p2,0.490000000000022,0.537467497201108,9.36517774607324e-23,6.07206834962424e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p10_Es0p15_tfe1p00em06_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1.1,0.15,1e-06,24,1e-07,-0.5,VGm0p8_to_2p2,0.490000000000022,0.517791019907039,5.62958953198925e-24,4.97563930043043e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p10_Es0p15_tfe1p00em06_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1.1,0.15,1e-06,28,1e-07,-0.5,VGm0p8_to_2p2,0.490000000000022,0.526911861927799,6.2647188655749e-23,5.41662123223279e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p10_Es0p20_tfe8p00em07_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1.1,0.2,8e-07,24,1e-07,-0.5,VGm0p8_to_2p2,0.380000000000017,0.571950999633707,1.66093376745315e-23,5.46836149707519e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p10_Es0p20_tfe8p00em07_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1.1,0.2,8e-07,28,1e-07,-0.5,VGm0p8_to_2p2,0.380000000000017,0.573159810965928,3.30979700615305e-23,5.93277267776e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p10_Es0p20_tfe1p00em06_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1.1,0.2,1e-06,24,1e-07,-0.5,VGm0p8_to_2p2,0.380000000000017,0.569804485875365,1.70270700221095e-23,4.81231209392933e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW5p00em02us_Em1p10_Es0p20_tfe1p00em06_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,5e-08,1.1,0.2,1e-06,28,1e-07,-0.5,VGm0p8_to_2p2,0.380000000000017,0.571341671286728,1.61989170141749e-23,5.26291831993018e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
