case_id,amp,pw,Ea_mean,Ea_sigma,P0,Vth0,dV1,dV100,gradual,dP100,idmin0,idmax0,valid0,valid_ratio,elapsed_s
A2p60_PW1p00e+00us_Em0p50_Es0p80,2.6,1e-06,0.5,0.8,-0.00999999999999983,0.698799624477028,-0.0143562287757789,-0.0126783866947822,0.00167784208099675,0.0400000000000013,1.69135960873222e-23,3.50575120303195e-06,1,1,89.1492664
A2p60_PW1p00e+00us_Em0p70_Es0p40,2.6,1e-06,0.7,0.4,-0.0450000000000023,0.710400851406715,-0.0146504759001892,-0.0146504759001892,0,0.0450000000000024,1.80367432853186e-23,3.46261515301396e-06,1,1,86.3233461
A2p60_PW1p00e+00us_Em0p70_Es0p60,2.6,1e-06,0.7,0.6,-0.00500000000000024,0.697284688015849,-0.00787130474879705,-0.00625653159881767,0.00161477314997938,0.0200000000000008,6.24259135159053e-23,3.51191618865581e-06,1,1,80.8825829
A2p60_PW1p00e+00us_Em0p70_Es0p80,2.6,1e-06,0.7,0.8,-0.0100000000000006,0.698799624477028,-0.0110218002718171,-0.0110218002718171,0,0.0350000000000017,3.12499255074891e-23,3.50575120303195e-06,1,1,88.1163603
A2p60_PW1p00e+00us_Em0p90_Es0p40,2.6,1e-06,0.9,0.4,-0.0400000000000016,0.708778001317939,-0.01149331330209,-0.01149331330209,0,0.0350000000000014,8.91339305318155e-24,3.46877541230537e-06,1,1,56.3105664
A2p60_PW1p00e+00us_Em0p90_Es0p60,2.6,1e-06,0.9,0.6,-0.130000000000006,0.737619625435096,-0.0418692499285702,-0.0418692499285702,0,0.130000000000006,3.19305327497009e-23,3.35799697116561e-06,1,1,81.6793534
A2p60_PW1p00e+00us_Em0p90_Es0p80,2.6,1e-06,0.9,0.8,-0.0250000000000009,0.703783229025631,-0.0111608306071108,-0.0111608306071108,0,0.0350000000000012,1.61502893260896e-23,3.48726026936337e-06,1,1,72.4639832
A2p60_PW2p00e+00us_Em0p50_Es0p40,2.6,2e-06,0.5,0.4,-1.73472347597688e-16,0.695750375506526,-0.004722219089494,-0.0031279770880055,0.0015942420014885,0.0100000000000006,1.67011169038519e-23,3.51808184152376e-06,1,1,112.4290847
A2p60_PW2p00e+00us_Em0p50_Es0p60,2.6,2e-06,0.5,0.6,-0.00500000000000043,0.697284688015849,-0.011163450233604,-0.011163450233604,0,0.0350000000000017,9.64810003864081e-24,3.51191618865581e-06,1,1,103.8945748
A2p60_PW2p00e+00us_Em0p50_Es0p80,2.6,2e-06,0.5,0.8,-0.0100000000000005,0.698799624477028,-0.0143562287757789,-0.0126783866947822,0.00167784208099675,0.0400000000000018,3.19989761666105e-23,3.50575120303195e-06,1,1,103.3515484
A2p60_PW2p00e+00us_Em0p70_Es0p40,2.6,2e-06,0.7,0.4,-0.0350000000000016,0.707134269577096,-0.0113838940705701,-0.0113838940705701,0,0.0350000000000016,1.62705812935125e-23,3.47493635280651e-06,1,1,112.8117516
A2p60_PW2p00e+00us_Em0p70_Es0p60,2.6,2e-06,0.7,0.6,-0.00500000000000006,0.697284688015849,-0.00625653159881767,-0.00625653159881767,0,0.0200000000000005,3.19118978267888e-23,3.51191618865581e-06,1,1,102.2880997
A2p60_PW2p00e+00us_Em0p70_Es0p80,2.6,2e-06,0.7,0.8,-0.00500000000000028,0.697284688015849,-0.00950686381063892,-0.00787130474879738,0.00163555906184154,0.0250000000000012,6.24259135159053e-23,3.51191618865581e-06,1,1,118.1341158
A2p60_PW2p00e+00us_Em0p90_Es0p40,2.6,2e-06,0.9,0.4,-0.0950000000000041,0.726487502767794,-0.029202814751945,-0.029202814751945,0,0.0900000000000037,3.14575270853845e-23,3.40105047748306e-06,1,1,78.8092302
A2p60_PW2p00e+00us_Em0p90_Es0p60,2.6,2e-06,0.9,0.6,-0.0950000000000042,0.726487502767794,-0.0307371272612686,-0.0307371272612686,0,0.0950000000000042,1.70332887494543e-23,3.40105047748306e-06,1,1,109.1706611
A2p60_PW2p00e+00us_Em0p90_Es0p80,2.6,2e-06,0.9,0.8,-6.50521303491332e-17,0.695750375506526,-0.0031279770880055,-0.0031279770880055,0,0.0100000000000005,1.67011169038519e-23,3.51808184152376e-06,1,1,113.7340006
