case_id,amp,pw,Ea_mean,Ea_sigma,P0,Vth0,idmin0,idmax0,valid0,dV1,dV100,gradual,dP1,dP100,valid_ratio,is_small_all,is_fast_sat,is_good_prog,elapsed_s
A1p80_PW2p00e-01us_Em0p80_Es0p60,1.8,2e-07,0.8,0.6,-0.0150000000000008,0.700345995343583,1.0078653578893e-23,3.49958688662184e-06,1,-0.00614961784190859,-0.00614961784190859,0,0.020000000000001,0.0200000000000008,1,1,0,0,61.6129236
A1p80_PW2p00e-01us_Em0p80_Es0p70,1.8,2e-07,0.8,0.7,-0.00500000000000013,0.697284688015849,3.19118978267888e-23,3.51191618865581e-06,1,-0.00308831051417502,-0.00308831051417502,0,0.0100000000000003,0.0100000000000003,1,1,0,0,62.4411973
A1p80_PW2p00e-01us_Em0p85_Es0p20,1.8,2e-07,0.85,0.2,0.245000000000011,0.616611996261472,6.23949676993263e-23,3.82097733757683e-06,1,-0.0612792476299002,0.032443356073499,0.0937226037033992,0.190000000000009,-0.100000000000005,1,1,0,0,30.1618228
A1p80_PW2p00e-01us_Em0p85_Es0p30,1.8,2e-07,0.85,0.3,0.0350000000000015,0.684443395701249,1.73674850145486e-23,3.5612599307296e-06,1,0.00975298180042572,0.0352709629937611,0.0255179811933354,-0.0300000000000014,-0.110000000000005,1,1,0,0,27.5343701
A1p80_PW2p00e-01us_Em0p85_Es0p40,1.8,2e-07,0.85,0.4,-0.0500000000000023,0.712003069395618,9.13503073817031e-24,3.45645557696168e-06,1,-0.0162526938890919,-0.0162526938890923,4.44089209850063e-16,0.0500000000000024,0.0500000000000026,1,1,0,0,49.41907
A1p80_PW2p00e-01us_Em0p85_Es0p50,1.8,2e-07,0.85,0.5,-0.0950000000000044,0.726487502767795,2.27110516659391e-23,3.40105047748306e-06,1,-0.0307371272612694,-0.0307371272612694,0,0.0950000000000044,0.0950000000000044,1,1,0,0,58.8551949
A1p80_PW2p00e-01us_Em0p85_Es0p60,1.8,2e-07,0.85,0.6,-0.0750000000000034,0.71971435869501,3.20551922176267e-23,3.42566801693405e-06,1,-0.0239639831884844,-0.0239639831884844,0,0.0750000000000033,0.0750000000000033,1,1,0,0,61.5343402
A1p80_PW2p00e-01us_Em0p85_Es0p70,1.8,2e-07,0.85,0.7,-0.0500000000000024,0.712003069395618,3.29761977407919e-23,3.45645557696168e-06,1,-0.0193806709770974,-0.0193806709770974,0,0.0600000000000029,0.0600000000000029,1,1,0,0,64.0664826
A1p80_PW2p00e-01us_Em0p90_Es0p20,1.8,2e-07,0.9,0.2,0.270000000000012,0.608696312687809,1.24205318033179e-22,3.85196647500492e-06,1,-0.074312406123331,-0.021000816453185,0.053311589670146,0.230000000000011,0.0650000000000031,1,1,0,0,29.1084721
A1p80_PW2p00e-01us_Em0p90_Es0p30,1.8,2e-07,0.9,0.3,0.0750000000000033,0.67165233849492,1.64704125424543e-23,3.6106453896782e-06,1,-0.0225969861599489,0.0240980370116057,0.0466950231715546,0.0700000000000032,-0.0750000000000035,1,1,0,0,26.6467973
A1p80_PW2p00e-01us_Em0p90_Es0p40,1.8,2e-07,0.9,0.4,-0.0550000000000027,0.713584918245198,1.49916908011051e-23,3.45029668618681e-06,1,-0.0209625198266779,-0.0178345427386724,0.0031279770880055,0.0650000000000029,0.0550000000000027,1,1,0,0,39.3591447
